title,owners,num_reviews,positive,negative,ratio,pos_percent,neg_percent,ccu,median_2weeks,median_forever,average_2weeks,average_forever,been_sale,orig_price,num_tags,num_genres,year_released,rating_val,num_followers,num_languages,has_meta,userscore,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Casual_tag,Strategy_tag,Multiplayer_tag,RPG_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Fantasy_tag,Funny_tag,Coop_tag,Platformer_tag,Early_tag,Access_tag,Sim_tag,Indie_genre,Action_genre,Adventure_genre,Casual_genre,Simulation_genre,Strategy_genre,RPG_genre,_genre,Early_genre,Access_genre,Games_genre,Sports_genre,Racing_genre,Studios_genre,Entertainment_genre,Massively_genre,Multiplayer_genre,Studio_genre,Interactive_genre,Inc_genre,Software_genre,Game_genre,Utilities_genre,Feral_genre,Ltd_genre,Mac_genre,Design_genre,Illustration_genre,Sokpop_genre,Collective_genre,Activision,BANDAI NAMCO Entertainment,Capcom,Devolver Digital,Disney,Electronic Arts,Paradox Interactive,SEGA,Sokpop Collective,Square Enix,THQ Nordic,Ubisoft,Winged Cloud,other,tinyBuild
Phasmophobia,8559999.999999998,264250,257361,6889,37.358252286253446,97.3929990539262,2.6070009460737937,16035,90,642,117,1030,0,13.99,20.0,0.0,2020,10,208474.0,34,0,97.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baldur's Gate 3,2191000.000000001,38877,34331,4546,7.551913770347558,88.30671090876353,11.693289091236464,2666,0,1086,0,1099,0,59.99,20.0,5.0,2020,9,341818.0,16,0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Until You Fall,105000.00000000004,2040,1937,103,18.805825242718445,94.95098039215686,5.049019607843137,29,0,120,0,120,1,24.99,20.0,0.0,2020,10,10185.0,10,1,94.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Isle,975000.0000000008,35869,29426,6443,4.567127114698122,82.03741392288606,17.962586077113944,9086,305,2849,280,11537,0,19.99,20.0,6.0,2015,9,0.0,10,0,82.0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Satisfactory,2722000.000000002,54970,53387,1583,33.72520530638029,97.12024740767691,2.8797525923230856,18542,544,1569,1079,2473,0,29.99,20.0,6.0,2020,10,240316.0,30,0,97.0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Resident Evil 7 Biohazard,1722999.9999999995,42516,39915,2601,15.346020761245676,93.88230313293818,6.117696867061812,2583,250,558,487,792,1,29.99,20.0,3.0,2017,9,196404.0,22,1,93.0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cyberpunk 2077,15932999.999999974,412306,314338,97968,3.2085783112853177,76.23900695114794,23.760993048852068,13992,67,2308,206,3448,0,59.99,20.0,1.0,2020,7,1202583.0,27,1,76.0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Elder Scrolls V: Skyrim Special Edition,4859999.999999999,156017,139971,16046,8.723108562881714,89.71522334104617,10.284776658953831,22710,50,663,289,2499,0,39.99,20.0,3.0,2016,9,406052.0,18,1,89.0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Monster Hunter: World,7663999.999999998,313276,262370,50906,5.154009350567713,83.75043092991483,16.249569070085165,35933,324,3428,838,9383,0,29.99,20.0,2.0,2018,9,750575.0,22,1,83.0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Resident Evil 2,4334000.000000004,89012,86546,2466,35.095701540957016,97.22958702197457,2.7704129780254347,1851,234,905,243,2497,1,39.99,20.0,2.0,2019,10,271016.0,21,1,97.0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Red Dead Redemption 2,3200000.000000002,178096,151555,26541,5.710221920801779,85.0973632198365,14.902636780163508,15053,222,2398,341,5259,0,59.99,20.0,3.0,2019,9,398978.0,22,1,85.0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
